@relation testing
@attribute Time numeric
@attribute a numeric
@attribute b numeric
@attribute c {1,2,3}
@data
26,28,8,1
27,28,7,1
28,29,6,1
29,30,7,2
30,31,5,2
31,30,3,2
32,32,4,2
33,32,5,2
34,33,6,2
35,34,8,3
36,35,7,3
37,34,8,3
38,36,9,1
39,37,7,1
40,37,6,1
41,36,6,2
42,38,4,2
43,41,8,2
44,43,7,2
45,46,6,2
46,47,7,2
47,49,5,3
48,50,3,3
49,50,4,3
50,51,5,1
51,49,6,1
52,51,8,1
53,52,7,2
54,55,8,2
55,55,9,2
56,56,7,2
57,58,6,2
58,58,6,2
59,59,4,3
60,61,8,3
61,60,7,3
62,62,6,1
63,64,7,1
64,65,5,1
65,67,3,2
66,68,4,2
67,65,5,2
68,67,6,2
69,69,8,2
70,70,7,2
