@relation testing
@attribute Time numeric
@attribute a numeric
@attribute b numeric
@attribute c {1,2,3}
@data
1,1,8,1
2,2,7,1
3,3,6,1
4,7,7,2
5,5,5,2
6,6,3,2
7,7,4,2
8,5,5,2
9,9,6,2
10,10,8,3
11,11,7,3
12,12,8,3
13,11,9,1
14,14,7,1
15,15,6,1
16,16,6,2
17,17,4,2
18,20,3,2
19,19,4,2
20,20,5,2
21,23,6,2
22,22,7,3
23,24,7,3
24,25,8,3
25,27,8,1
26,28,8,1
27,28,7,1
28,29,6,1
29,30,7,2
30,31,5,2
31,30,3,2
32,32,4,2
33,32,5,2
34,33,6,2
35,34,8,3
36,35,7,3
37,34,8,3
38,36,9,1
39,37,7,1
40,37,6,1
41,36,6,2
42,38,4,2
43,41,8,2
44,43,7,2
45,46,6,2
46,47,7,2
47,49,5,3
48,50,3,3
